"Tabela 1.3.25.1 - Pessoas de 10 anos ou mais de idade, por condição de estudante e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.25.2 - Distribuição das pessoas de 10 anos ou mais de idade, por condição de estudantes e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Estudantes,,,Não estudantes,,,,Total,Posse de telefone móvel celular para uso pessoal,,Estudantes,,,Não estudantes,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Região Metropolitana de Belo Horizonte,4625.536,4034.18,591.356,944.19,793.563,150.627,3681.346,3240.617,440.729,Região Metropolitana de Belo Horizonte,100,87.2,12.8,100,84,16,100,88,12
Espírito Santo,3427.822,2780.138,647.684,654.856,494.149,160.707,2772.966,2285.989,486.977,Espírito Santo,100,81.1,18.9,100,75.5,24.5,100,82.4,17.6
Rio de Janeiro,14646.539,12166.843,2479.696,2726.557,2229.997,496.56,11919.982,9936.846,1983.136,Rio de Janeiro,100,83.1,16.9,100,81.8,18.2,100,83.4,16.6
Região Metropolitana do Rio de Janeiro,10770.231,9073.957,1696.274,2005.648,1669.574,336.074,8764.583,7404.383,1360.2,Região Metropolitana do Rio de Janeiro,100,84.3,15.7,100,83.2,16.8,100,84.5,15.5
São Paulo,39144.484,32833.708,6310.776,7089.163,5822.075,1267.088,32055.321,27011.633,5043.688,São Paulo,100,83.9,16.1,100,82.1,17.9,100,84.3,15.7
Região Metropolitana de São Paulo,18604.133,15823.502,2780.631,3560.148,2927.912,632.236,15043.985,12895.59,2148.395,Região Metropolitana de São Paulo,100,85.1,14.9,100,82.2,17.8,100,85.7,14.3
Sul,25771.8,21350.453,4421.347,4781.209,3870.866,910.343,20990.591,17479.587,3511.004,Sul,100,82.8,17.2,100,81,19,100,83.3,16.7
Paraná,9745.617,7947.032,1798.585,1825.86,1459.579,366.281,7919.757,6487.453,1432.304,Paraná,100,81.5,18.5,100,79.9,20.1,100,81.9,18.1
Região Metropolitana de Curitiba,3030.41,2554.45,475.96,559.01,453.355,105.655,2471.4,2101.095,370.305,Região Metropolitana de Curitiba,100,84.3,15.7,100,81.1,18.9,100,85,15
Santa Catarina,6048.506,4902.014,1146.492,1122.874,894.287,228.587,4925.632,4007.727,917.905,Santa Catarina,100,81,19,100,79.6,20.4,100,81.4,18.6
Rio Grande do Sul,9977.677,8501.407,1476.27,1832.475,1517,315.475,8145.202,6984.407,1160.795,Rio Grande do Sul,100,85.2,14.8,100,82.8,17.2,100,85.7,14.3
Região Metropolitana de Porto Alegre,3722.776,3311.087,411.689,748.052,636.53,111.522,2974.724,2674.557,300.167,Região Metropolitana de Porto Alegre,100,88.9,11.1,100,85.1,14.9,100,89.9,10.1
Centro-Oeste,13339.641,11589.658,1749.983,2918.496,2400.428,518.068,10421.145,9189.23,1231.915,Centro-Oeste,100,86.9,13.1,100,82.2,17.8,100,88.2,11.8
Mato Grosso do Sul,2283.967,1980.415,303.552,472.782,382.203,90.579,1811.185,1598.212,212.973,Mato Grosso do Sul,100,86.7,13.3,100,80.8,19.2,100,88.2,11.8
Mato Grosso,2766.131,2304.152,461.979,583.265,447.084,136.181,2182.866,1857.068,325.798,Mato Grosso,100,83.3,16.7,100,76.7,23.3,100,85.1,14.9
Goiás,5730.676,4983.775,746.901,1214.381,1007.767,206.614,4516.295,3976.008,540.287,Goiás,100,87,13,100,83,17,100,88,12
Distrito Federal,2558.867,2321.316,237.551,648.068,563.374,84.694,1910.799,1757.942,152.857,Distrito Federal,100,90.7,9.3,100,86.9,13.1,100,92,8
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
