"Tabela 1.1.23.1 - Pessoas de 10 anos ou mais de idade, por sexo e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.23.2 - Distribuição das pessoas de 10 anos ou mais de idade, por sexo e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Região Metropolitana de Belo Horizonte,4625.536,3175.428,1450.108,2213.951,1531.814,682.137,2411.585,1643.614,767.971,Região Metropolitana de Belo Horizonte,100,68.6,31.4,100,69.2,30.8,100,68.2,31.8
Espírito Santo,3427.822,2004.128,1423.694,1627.556,927.102,700.454,1800.266,1077.026,723.24,Espírito Santo,100,58.5,41.5,100,57,43,100,59.8,40.2
Rio de Janeiro,14646.539,9707.466,4939.073,6836.305,4631.081,2205.224,7810.234,5076.385,2733.849,Rio de Janeiro,100,66.3,33.7,100,67.7,32.3,100,65,35
Região Metropolitana do Rio de Janeiro,10770.231,7529.582,3240.649,4997.828,3612.878,1384.95,5772.403,3916.704,1855.699,Região Metropolitana do Rio de Janeiro,100,69.9,30.1,100,72.3,27.7,100,67.9,32.1
São Paulo,39144.484,27203.297,11941.187,18582.982,12989.591,5593.391,20561.502,14213.706,6347.796,São Paulo,100,69.5,30.5,100,69.9,30.1,100,69.1,30.9
Região Metropolitana de São Paulo,18604.133,13592.382,5011.751,8685.921,6450.48,2235.441,9918.212,7141.902,2776.31,Região Metropolitana de São Paulo,100,73.1,26.9,100,74.3,25.7,100,72,28
Sul,25771.8,15758.972,10012.828,12501.919,7661.218,4840.701,13269.881,8097.754,5172.127,Sul,100,61.1,38.9,100,61.3,38.7,100,61,39
Paraná,9745.617,5897.03,3848.587,4731.652,2883.407,1848.245,5013.965,3013.623,2000.342,Paraná,100,60.5,39.5,100,60.9,39.1,100,60.1,39.9
Região Metropolitana de Curitiba,3030.41,2065.537,964.873,1469.1,1020.055,449.045,1561.31,1045.482,515.828,Região Metropolitana de Curitiba,100,68.2,31.8,100,69.4,30.6,100,67,33
Santa Catarina,6048.506,3767.691,2280.815,2985.178,1863.753,1121.425,3063.328,1903.938,1159.39,Santa Catarina,100,62.3,37.7,100,62.4,37.6,100,62.2,37.8
Rio Grande do Sul,9977.677,6094.251,3883.426,4785.089,2914.058,1871.031,5192.588,3180.193,2012.395,Rio Grande do Sul,100,61.1,38.9,100,60.9,39.1,100,61.2,38.8
Região Metropolitana de Porto Alegre,3722.776,2610.59,1112.186,1740.905,1233.115,507.79,1981.871,1377.475,604.396,Região Metropolitana de Porto Alegre,100,70.1,29.9,100,70.8,29.2,100,69.5,30.5
Centro-Oeste,13339.641,8530.74,4808.901,6487.257,4083.964,2403.293,6852.384,4446.776,2405.608,Centro-Oeste,100,64,36,100,63,37,100,64.9,35.1
Mato Grosso do Sul,2283.967,1455.931,828.036,1124.084,714.934,409.15,1159.883,740.997,418.886,Mato Grosso do Sul,100,63.7,36.3,100,63.6,36.4,100,63.9,36.1
Mato Grosso,2766.131,1526.026,1240.105,1388.108,735.211,652.897,1378.023,790.815,587.208,Mato Grosso,100,55.2,44.8,100,53,47,100,57.4,42.6
Goiás,5730.676,3541.957,2188.719,2776.925,1682.341,1094.584,2953.751,1859.616,1094.135,Goiás,100,61.8,38.2,100,60.6,39.4,100,63,37
Distrito Federal,2558.867,2006.826,552.041,1198.14,951.478,246.662,1360.727,1055.348,305.379,Distrito Federal,100,78.4,21.6,100,79.4,20.6,100,77.6,22.4
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
